iter	RMSE
290	0.1704177121
291	0.1691619951
292	0.167863995
293	0.1670430709
294	0.1661271387
295	0.164990837
296	0.1641066256
297	0.1635559778
298	0.1621631086
299	0.1616579936
300	0.1607509924
301	0.1598301558
302	0.1592248553
303	0.1581189395
304	0.1570409638
305	0.1559342508
306	0.1546517254
307	0.1537946528
308	0.1524055213
309	0.1513437033
310	0.1505639868
311	0.1495588399
312	0.1484376773
313	0.1476970974
314	0.1471696085
315	0.1464995389
316	0.1460477932
317	0.1455291054
318	0.1449444732
319	0.1443943985
320	0.1438763383
321	0.1433881455
322	0.1429687021
323	0.1423992792
324	0.1409772702
325	0.140165502
326	0.1392392417
327	0.1385365865
328	0.1374210962
329	0.1366278641
330	0.1357090542
331	0.1352603888
332	0.1341149422
333	0.1335774565
334	0.1330640923
335	0.132091681
336	0.1313670895
337	0.1303273448
338	0.1299148295
339	0.1289119798
340	0.1281941167
341	0.1275762262
342	0.1271498362
343	0.1264416464
344	0.1254052718
345	0.1245610678
346	0.1235578425
347	0.1230336578
348	0.1219837785
349	0.1213707004
350	0.1210019232
351	0.1206145106
352	0.1196391701
353	0.1185486574
354	0.1175743493
355	0.117009443
356	0.1164787936
357	0.1157836512
358	0.1149670719
359	0.1145749214
360	0.1138389175
361	0.1130667584
362	0.1123157612
363	0.111592164
364	0.1108184317
365	0.1100436513
366	0.1091502104
367	0.1085726883
368	0.1082573981
369	0.1074628944
370	0.1072200134
371	0.1064447923
372	0.1058169958
373	0.1053696796
374	0.1045683799
375	0.1040938348
376	0.1035158032
377	0.1028324151
378	0.1022928855
379	0.102023687
380	0.1013813743
381	0.1009484966
382	0.100224336
383	0.09939021015
384	0.09897483686
385	0.09824677573
386	0.09766820755
387	0.09743520538
388	0.09684491981
389	0.09623443232
390	0.09558270669
391	0.09540260862
392	0.09502838961
393	0.09430183998
394	0.09412655357
395	0.09361494551
396	0.09320304835
397	0.09252749276
398	0.0923085184
399	0.09172059076
400	0.09118937298
401	0.09101185223
402	0.09044322188
403	0.09006278707
404	0.08943071622
405	0.0889288435
406	0.08859232928
407	0.08831414377
408	0.08767690185
409	0.08750661832
410	0.08706363876
411	0.08652169543
412	0.08587652362
413	0.08545839193
414	0.08487077003
415	0.08471201393
416	0.08418939884
417	0.08349857507
418	0.08325532048
419	0.08277970724
420	0.08215491682
421	0.0818374694
422	0.08168737522
423	0.08131825652
424	0.08121226412
425	0.08075232515
426	0.08051842309
427	0.08037082696
428	0.07985553825
429	0.07943781896
430	0.07915601558
431	0.0789775398
432	0.07844366776
433	0.07793205802
434	0.07745297324
435	0.07706278778
436	0.07658910661
437	0.07616925328
438	0.0756689996
439	0.075239865
440	0.07509230234
441	0.07485552581
442	0.07436669097
443	0.0740296674
444	0.07380085687
445	0.07340930686
446	0.07293387972
447	0.07238709795
448	0.0720277705
449	0.07188533872
450	0.07134096307
451	0.07125479735
452	0.07093694464
453	0.07084646142
454	0.07038736163
455	0.07014503664
456	0.0698190842
457	0.06959242285
458	0.06919740012
459	0.06882258609
460	0.06872867266
461	0.06819576345
462	0.06791481577
463	0.06755276074
464	0.06722158462
465	0.06712995858
466	0.06697580935
467	0.06666970811
468	0.06621077866
469	0.06594035468
470	0.06576102385
471	0.06546431813
472	0.06503928459
473	0.0646076633
474	0.06427757825
475	0.06393554003
476	0.06383037122
477	0.06360607864
478	0.06339119219
479	0.06305724168
480	0.06271401348
481	0.06225505381
482	0.06182398566
483	0.06142028851
484	0.0611502319
485	0.0609016231
486	0.06071975544
487	0.06054340889
488	0.06016182496
489	0.05967611527
490	0.05921526336
491	0.05902928792
492	0.0586450968
493	0.0582403025
494	0.05807441842
495	0.0577332045
496	0.05743624003
497	0.0571457038
498	0.0569044952
499	0.05659964752
500	0.05635747403
501	0.05605728488
502	0.05569529756
503	0.05550086466
504	0.0553408793
505	0.05500103043
506	0.05481462894
507	0.05461574541
508	0.05451745396
509	0.05425016053
510	0.05400775996
511	0.05375387868
512	0.05341136861
513	0.05320401226
514	0.05294093127
515	0.05281029058
516	0.05261771286
517	0.05243678106
518	0.0523675478
519	0.05200417188
520	0.05171316811
521	0.05140847545
522	0.05131832318
523	0.05106415167
524	0.05078800836
525	0.05043993889
526	0.05023493519
527	0.05000623125
528	0.04968046197
529	0.04942304463
530	0.04926082189
531	0.04898588626
532	0.04890379493
533	0.04870482299
534	0.04860643209
535	0.04832186669
536	0.04807745832
537	0.04781965199
538	0.04761367595
539	0.04743568179
540	0.0473124987
541	0.04714170694
542	0.04682590715
543	0.04652625714
544	0.04632994284
545	0.04613276641
546	0.04586468443
547	0.04570770211
548	0.04541214891
549	0.04511001608
550	0.04482569221
551	0.04467156055
552	0.04441584281
553	0.04428936287
554	0.04403672997
555	0.04378128021
556	0.04352497593
557	0.04335932987
558	0.04310070809
559	0.0428751846
560	0.0426722126
561	0.04248971236
562	0.04241077182
563	0.04221841883
564	0.04205448763
565	0.04180782417
566	0.0415672777
567	0.04139298777
568	0.04118117372
569	0.0409111639
570	0.04071732244
571	0.0406166215
572	0.04039939673
573	0.04019746126
574	0.03996095082
575	0.03978041083
576	0.03953640957
577	0.03941948245
578	0.03933578786
579	0.0392182186
580	0.03914075158
581	0.03894782789
582	0.03874681681
583	0.03864080137
584	0.03843505728
585	0.0383479156
586	0.03823166606
587	0.03818659676
588	0.03811965157
589	0.03797351599
590	0.03775326713
591	0.03766326195
592	0.03742055746
593	0.03720367843
594	0.03701179294
595	0.03690113507
596	0.03670424236
597	0.03663152018
598	0.03655714565
599	0.0364205744
600	0.03630555985
601	0.0360978241
602	0.03596418766
603	0.03575216823
604	0.03562471312
605	0.03556538822
606	0.03534493109
607	0.03528136951
608	0.03516085227
609	0.03499274349
610	0.03493545949
611	0.03471210402
612	0.03457249874
613	0.03446128984
614	0.0342337905
615	0.0340311622
616	0.03394898461
617	0.0337844393
618	0.03358112971
619	0.03349905422
620	0.03324686483
621	0.03309617449
622	0.03289433385
623	0.03270273658
624	0.0325281482
625	0.0323524266
626	0.03225779239
627	0.03219906732
628	0.03216026349
629	0.03204574607
630	0.03196605626
631	0.03187551133
632	0.031675803
633	0.03146515643
634	0.03129102771
635	0.03123297323
636	0.03116610706
637	0.03097828333
638	0.03085681844
639	0.0306713429
640	0.03061996999
641	0.03043032592
642	0.03020363557
643	0.0300473916
644	0.029953181
645	0.02990364337
646	0.02978944346
647	0.02958329644
648	0.02937279957
649	0.02927080046
650	0.02915241729
651	0.02897637882
652	0.0288645594
653	0.02871502165
654	0.02850698184
655	0.02843916637
656	0.02828561797
657	0.02813406233
658	0.02801898238
659	0.0278695918
660	0.02770935635
661	0.02762650626
662	0.02747753677
663	0.02739224028
664	0.02728955986
665	0.0272006846
666	0.02702730714
667	0.02689185574
668	0.02683125088
669	0.02667261016
670	0.02654777366
671	0.0264647612
672	0.02638404232
673	0.02622046933
674	0.02607940309
675	0.02596562335
676	0.02578964563
677	0.02566354591
678	0.02557530726
679	0.02551368987
680	0.02542527749
681	0.02526171925
682	0.02518252448
683	0.02513048016
684	0.02507575547
685	0.02502656021
686	0.0248690451
687	0.02480547425
688	0.0247624673
689	0.0246110934
690	0.0245416731
691	0.02439042782
692	0.02430923631
693	0.02416149549
694	0.02402133656
695	0.02393864441
696	0.02388935051
697	0.02377572306
698	0.02362493992
699	0.02351806283
700	0.0233906663
701	0.02329983606
702	0.02325608357
703	0.02321838404
704	0.02313472464
705	0.02298894547
706	0.0229278602
707	0.0228095218
708	0.02270511062
709	0.02256927497
710	0.02243083324
711	0.02230160574
712	0.02219960179
713	0.02213069094
714	0.02208343659
715	0.02199008151
716	0.02193413258
717	0.02181555069
718	0.02177660543
719	0.02165844059
720	0.02155301063
721	0.02143553671
722	0.02137290514
723	0.02125021034
724	0.02116183165
725	0.02108224283
726	0.02101631087
727	0.02088527822
728	0.02079331995
729	0.02071250234
730	0.0206301661
731	0.02054139168
732	0.02050547772
733	0.02045903976
734	0.02034107395
735	0.02025830675
736	0.02012863309
737	0.02006794544
738	0.02002874764
739	0.01997332384
740	0.01984509221
741	0.01971819646
742	0.01959900902
743	0.01948047669
744	0.01935980538
745	0.01929061681
746	0.01916676842
747	0.01910409413
748	0.01897008028
749	0.01892827136
750	0.01884049208
751	0.01872620167
752	0.01861438775
753	0.0185222167
754	0.01845940579
755	0.01836936585
756	0.01831264959
757	0.01825807593
758	0.01819638173
759	0.01811577352
760	0.01806839369
761	0.01795543696
762	0.01787280493
763	0.01780728833
764	0.01770831267
765	0.01761131935
766	0.01751190764
767	0.01744123715
768	0.01736834158
769	0.01732267249
770	0.01723310808
771	0.0171249792
772	0.0170363173
773	0.01693833131
774	0.01689913874
775	0.01683424771
776	0.01673905711
777	0.01668707567
778	0.01662044706
779	0.01650550006
780	0.0164443779
781	0.01639327436
782	0.01632638705
783	0.01623362071
784	0.01619389647
785	0.01609902221
786	0.01605966967
787	0.01594328215
788	0.01590852959
789	0.01586637199
790	0.01583046129
791	0.01573630548
792	0.01566527781
793	0.01558204778
794	0.01549620675
795	0.01539753782
796	0.01536201509
797	0.0153294
798	0.01525112235
799	0.01517536036
800	0.01510546223
801	0.01508460408
802	0.01501257075
803	0.01491112575
804	0.01487807806
805	0.01485224786
806	0.01482592565
807	0.01474465036
808	0.01465736884
809	0.01463555681
810	0.01456042017
811	0.01446196909
812	0.01438427638
813	0.01430404876
814	0.01426947824
815	0.01424300896
816	0.01420620947
817	0.01412124033
818	0.01407248057
819	0.01399320212
820	0.01390512734
821	0.01387524424
822	0.0137910171
823	0.013702304
824	0.01366498878
825	0.01360498284
826	0.01357804103
827	0.0135062963
828	0.01342382109
829	0.01336790633
830	0.01329962867
831	0.01322106846
832	0.01317331198
833	0.01310184565
834	0.01307980741
835	0.01302979189
836	0.0129486973
837	0.01288127911
838	0.01281057555
839	0.0127528785
840	0.01268692145
841	0.01259524775
842	0.01252180377
843	0.01247496873
844	0.01239069226
845	0.01232425892
846	0.01230024557
847	0.01223608074
848	0.01219931111
849	0.01216721322
850	0.01215120899
851	0.01209850507
852	0.01202898834
853	0.01194627606
854	0.01190962966
855	0.01185878916
856	0.01180018762
857	0.01177737962
858	0.01173496566
859	0.01170375159
860	0.01163337685
861	0.0115966935
862	0.0115567343
863	0.01153609647
864	0.01146438127
865	0.01139694245
866	0.01138151233
867	0.01131802773
868	0.01125034869
869	0.01122959363
870	0.01117869108
871	0.01115771363
872	0.01113129683
873	0.0111194758
874	0.01110545174
875	0.01107993513
876	0.01102645264
877	0.01096712417
878	0.01093490421
879	0.01087057428
880	0.01084563906
881	0.01081430611
882	0.01079894868
883	0.0107486813
884	0.01069893195
885	0.01063472519
886	0.01062399132
887	0.01056209419
888	0.01050279283
889	0.01048393482
890	0.01045178343
891	0.01038493688
892	0.01033388701
893	0.01026752554
894	0.01021578496
895	0.01020083191
896	0.01018136766
897	0.01016984186
898	0.01012411821
899	0.01007485505
900	0.01001347187
901	0.01000425519
902	0.009932119779
903	0.009916965171
904	0.009892951876
905	0.009861190969
906	0.009786972847
907	0.00977270306
908	0.009755153264
909	0.00973412822
910	0.00968272383
911	0.009659445305
912	0.009607409334
913	0.009568418363
914	0.009554221166
915	0.009519764704
916	0.009471138424
917	0.009429727722
918	0.009418088925
919	0.009375927244
920	0.009367518364
921	0.009352233653
922	0.009340184831
923	0.009328271457
924	0.009301560755
925	0.009291703872
926	0.0092638078
927	0.009212550535
928	0.009164602264
929	0.009134651632
930	0.009103802958
931	0.009063347488
932	0.009010766969
933	0.008965860654
934	0.00891609049
935	0.008882035921
936	0.008849581126
937	0.008800436964
938	0.008752941232
939	0.008723004279
940	0.008702628511
941	0.00867046781
942	0.008659133719
943	0.008614402133
944	0.008606207423
945	0.008569527896
946	0.008552649867
947	0.008541408433
948	0.008524782271
949	0.008484144356
950	0.008443291482
951	0.008386841913
952	0.0083386008
953	0.008305341368
954	0.008247562753
955	0.008205208895
956	0.008178710848
957	0.008167957689
958	0.008117169157
959	0.008067992118
960	0.008024740397
961	0.007976557237
962	0.007911446271
963	0.00788555155
964	0.007854397839
965	0.007831112779
966	0.007782309849
967	0.007766366997
968	0.007752047145
969	0.00769784469
970	0.007660243214
971	0.007623274159
972	0.007598459008
973	0.007573665958
974	0.007541936701
975	0.007512399366
976	0.007504254355
977	0.0074804535
978	0.007447555461
979	0.007405786123
980	0.007382653541
981	0.007346894339
982	0.007311991314
983	0.007306039441
984	0.007263278603
985	0.007246919545
986	0.007208305666
987	0.007161011887
988	0.007152160599
989	0.007113643168
990	0.007100236699
991	0.007074168309
992	0.007035262275
993	0.006995745598
994	0.006987708237
995	0.006965786128
996	0.006953356594
997	0.006938391729
998	0.006888367707
999	0.006854143483
